"real_level","target_level","cycle_level","state_id","shadow_rate","region","eta","maturity_months","maturity","security","approximation","monte_carlo","error_bp","mc_se_bp","npaths","wu_xia_yield","wu_xia_error_bp","implementation_difference_bp"
0,0,-1,5,0.5,"Near the bound",0.5,60,"5y","Nominal",1.86917247392915,1.87277981297146,-0.360733904230792,0.0153138709002562,2000000,1.86917247392915,-0.360733904230792,0
1,0,-1,6,1.75,"Above the bound",0.5,60,"5y","Nominal",2.60879221328776,2.61061595315767,-0.182373986991147,0.00969237061570338,2000000,2.60879221328776,-0.182373986991147,0
-1,1,-1,7,0.25,"Near the bound",0.5,60,"5y","Nominal",1.90287038089119,1.90650938946499,-0.363900857380006,0.0147296138397848,2000000,1.90287038089119,-0.363900857380006,0
0,1,-1,8,1.5,"Above the bound",0.5,60,"5y","Nominal",2.64121801215897,2.64300009136459,-0.178207920562246,0.00908017055450722,2000000,2.64121801215897,-0.178207920562246,0
1,1,-1,9,2.75,"Above the bound",0.5,60,"5y","Nominal",3.43544484666556,3.43621341255706,-0.0768565891504647,0.00528434356335458,2000000,3.43544484666556,-0.0768565891504647,0
-1,-1,0,10,-0.25,"Below the bound",0.5,60,"5y","Nominal",0.847728238601636,0.854400395651692,-0.66721570500563,0.0254644528089621,2000000,0.847728238601636,-0.66721570500563,0
0,-1,0,11,1,"Near the bound",0.5,60,"5y","Nominal",1.38641784293194,1.3914115371267,-0.499369419476237,0.0210675429162237,2000000,1.38641784293194,-0.499369419476237,0
1,-1,0,12,2.25,"Above the bound",0.5,60,"5y","Nominal",2.06540272906215,2.06848656720138,-0.308383813922708,0.0150786429033666,2000000,2.06540272906215,-0.308383813922708,0
-1,0,0,13,0.75,"Near the bound",0.5,60,"5y","Nominal",1.41196119915852,1.41704104436044,-0.507984520192362,0.0204727417174625,2000000,1.41196119915852,-0.507984520192362,0
0,0,0,14,2,"Above the bound",0.5,60,"5y","Nominal",2.09198738944244,2.09503836783925,-0.305097839680801,0.014345039659856,2000000,2.09198738944244,-0.305097839680801,0
1,0,0,15,3.25,"Above the bound",0.5,60,"5y","Nominal",2.8514676249773,2.85305091300602,-0.158328802871965,0.00919961472298933,2000000,2.8514676249773,-0.158328802871965,0
-1,1,0,16,1.75,"Above the bound",0.5,60,"5y","Nominal",2.12078253729021,2.12380695012818,-0.302441283797483,0.013663440798798,2000000,2.12078253729021,-0.302441283797483,0
0,1,0,17,3,"Above the bound",0.5,60,"5y","Nominal",2.88289643678731,2.88440842524174,-0.151198845442613,0.00852118089968973,2000000,2.88289643678731,-0.151198845442613,0
1,1,0,18,4.25,"Above the bound",0.5,60,"5y","Nominal",3.68319606454878,3.68387938533893,-0.0683320790147324,0.00506717471028816,2000000,3.68319606454878,-0.0683320790147324,0
-1,-1,1,19,1.25,"Above the bound",0.5,60,"5y","Nominal",1.00237110119672,1.00845247367678,-0.608137248005547,0.0250124358918692,2000000,1.00237110119672,-0.608137248005547,0
